,actors,rank,score,title,type
87,"['李连杰', '林青霞', '关之琳', '李嘉欣', '李子雄', '余安安', '袁洁莹', '刘洵', '任世官', '钱嘉乐']",88,8.3,笑傲江湖2：东方不败,"['动作', '武侠', '古装']"
88,"['西蒙·佩吉', '尼克·弗罗斯特', '马丁·弗瑞曼', '比尔·奈伊', '提摩西·道尔顿', '吉姆·布劳德本特', 'Robert Popper', '乔·考尼什', 'Chris Waitt', '比莉·怀特劳', '彼得·怀特', '朱丽亚·迪金', '比尔·贝利', '保罗·弗里曼', '伊丽莎白·埃尔文', '斯图亚特·维尔森', '帕迪·康斯戴恩', '拉菲·斯波', '凯文·埃尔登', '卡尔·约翰逊', 'Sampson', '奥利维娅·科尔曼', '爱德华·伍德华德', '安妮·雷德', '肯尼思·库兰汉姆', '亚当·布克斯顿', '斯戴芬·莫昌特', '蒂姆·巴洛', '罗伊·麦克凯恩', '爱丽丝·洛维', '罗恩·库克', '大卫·斯瑞弗', '露茜·彭奇', '大卫·布拉德利', 'Maria Charles', '凯特·布兰切特', '史蒂夫·库根', '大卫·威廉·詹姆斯·埃利奥特', '彼得·杰克逊', '加斯·詹宁斯', '约瑟夫·麦克曼纳斯', 'Joel Stubbs', '埃德加·赖特']",89,8.3,热血警探,"['喜剧', '动作']"
89,"['哈里森·福特', '马克·哈米尔', '凯丽·费雪', '彼得·库欣', '亚历克·吉尼斯', '彼德·梅犹', '大卫·鲍罗斯', '詹姆斯·厄尔·琼斯']",90,8.3,星球大战,"['动作', '科幻', '冒险']"
90,"['张东健', '元斌', '李恩珠', '孔炯轸', '崔岷植', '郑太勋']",91,8.3,太极旗飘扬,"['动作', '剧情', '战争']"
91,"['马克·哈米尔', '哈里森·福特', '凯丽·费雪', '比利·迪·威廉姆斯', '安东尼·丹尼尔斯', '大卫·鲍罗斯', '彼德·梅犹', '肯尼·贝克', '弗兰克·奥兹', '亚历克·吉尼斯']",92,8.3,星球大战2：帝国反击战,"['动作', '冒险', '科幻']"
92,"['奥兰多·布鲁姆', '伊娃·格林', '爱德华·诺顿', '连姆·尼森', '麦克·辛', '艾瑞克·艾伯纳尼', '大卫·休里斯', '杰瑞米·艾恩斯', '马尔顿·索克斯']",93,8.3,天国王朝,"['剧情', '动作', '历史']"
93,"['马克·哈米尔', '哈里森·福特', '安东尼·丹尼尔斯', '凯丽·费雪', '比利·迪·威廉姆斯', '彼德·梅犹', '伊恩·麦克迪阿梅德', '弗兰克·奥兹', '亚历克·吉尼斯']",94,8.3,星球大战3：绝地归来,"['动作', '科幻', '冒险']"
94,"['周润发', '李修贤', '叶倩文', '曾江', '朱江', '成奎安', '黄光亮']",95,8.3,喋血双雄,"['动作', '犯罪', '剧情', '惊悚']"
95,"['刘青云', '吴镇宇', '李若彤', '徐锦江', '张达明', '郑祖', '宋本中', '黄卓玲']",96,8.3,一个字头的诞生,"['动作', '喜剧', '犯罪']"
96,"['克林特·伊斯特伍德', '吉安·玛丽亚·沃隆特', '沃尔夫冈·路卡西', '玛丽安妮·柯奇', '西戈德·拉普', '约瑟夫·埃格', '何塞·卡尔沃', '玛加丽塔·洛扎诺', '丹尼尔·马汀', '贝尼托·斯特凡内利', '马里奥·布雷加', '布鲁诺·卡罗泰努托', '阿尔多·桑布雷利']",97,8.3,荒野大镖客,"['动作', '西部']"
97,"['李小龙', '苗可秀', '罗礼士']",98,8.3,猛龙过江,"['动作', '喜剧', '犯罪', '剧情', '惊悚']"
98,"['鲁伯特·格林特', '大卫·克劳斯', '斯蒂格·亨里克·霍夫', '弗洛里安·卢卡斯', '拉克兰·尼布尔', 'Morten Faldaas', 'Kim Haugen', 'Knut Joner', 'Sondre Krogtoft Larsen']",99,8.3,白色严冬,"['剧情', '动作', '历史', '战争']"
99,"['北野武', '国舞亚矢', '渡边哲', '胜村政信', '寺岛进', '大杉涟', '矢岛健一']",100,8.3,奏鸣曲,"['喜剧', '动作', '犯罪']"
